,lblKitaname,lblEinrichtungsart,lblTraegerName,lblTraegerart,lblStrasse,lblOrt,HLinkEMail,HLinkWeb,lblOeffnungMontag,lblOeffnungDienstag,lblOeffnungMittwoch,lblOeffnungDonnerstag,lblOeffnungFreitag,lblOeffnungSonnabend,lblOeffnungSonntag,lblPaedSchwerpunkte,lblPaedAnsaetze,lblMehrsprachigkeitText,lblMehrsprachigkeit,lblThemSchwerpunkte,lblBesondereAngebote,GridViewFreiPlaetze,GridViewPlatzstrukturen_Altersmischung,GridViewPlatzstrukturen_angeboten,GridViewPlatzstrukturen_frühestes Aufnahmealter in Monaten,GridViewPlatzstrukturen_unter 3 Jahre,GridViewPlatzstrukturen_über 3 Jahre,PLZ,Ort,Stadtteil,lat,lon,address_zum_vergleich_nochmal
2411,Kita Urbanstr. 62/Kigä City,Kindertagesstätte,Kindergärten City,(Eigenbetrieb),Urbanstr. 62 ,10967 Berlin (Friedrichshain-Kreuzberg),Kita.Urbanstr62@ba-fk.berlin.de,,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-16:00,,,Situationsansatz,Situationsansatz,,,Interkulturelle Pädagogik,,Nein, ,90,2,28,62,10967,Berlin,Friedrichshain-Kreuzberg,52.4951839,13.3982804,"62, Urbanstraße, Graefekiez, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland"
697,Kita Veteranenstr. 10/Kigä City,Kindertagesstätte,Kindergärten City,(Eigenbetrieb),Veteranenstr. 10 ,10119 Berlin (Mitte),Kita.Veteranenstr10@ba-fk.berlin.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,120,2,45,75,10119,Berlin,Mitte,52.5330825,13.4016072,"Hotel Malzcafe, 10, Veteranenstraße, Scheunenviertel, Mitte, Berlin, 10119, Deutschland"
453129,Kita Vielfalter,Kindertagesstätte,Konsti e. V.,(Sonstiger freier Träger),Exerzierstr. 26 ,13357 Berlin (Mitte),vorstand@konsti-ev.de,,Mo 07:45-16:30,Di 07:45-16:30,Mi 07:45-16:30,Do 07:45-16:30,Fr 07:45-16:30,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Körper und Bewegung",,Nein, ,20,12,8,12,13357,Berlin,Mitte,52.5541552,13.3732146,"26, Exerzierstraße, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland"
2729,Kita Vier Jahreszeiten,Kindertagesstätte,Sozialdiakonische Arbeit Lichtenberg-Oberspree GmbH,(Sonstiger freier Träger),Gustelstr. 20E ,12524 Berlin (Treptow-Köpenick),vierjahreszeiten@sozdia.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,100,12,35,65,12524,Berlin,Treptow-Köpenick,52.41465875,13.5275425333,"Kindertagesstätte Vier Jahreszeiten, 20E, Gustelstraße, Altglienicke, Treptow-Köpenick, Siedlung Grüneck, Berlin, 12524, Deutschland"
547229,Kita Villa Grips,Kindertagesstätte,"Villa Grips Soziale und Bildungsdienste
gemeinnützige GmbH",(Sonstiger freier Träger),Akazienallee 14 ,14050 Berlin (Charlottenburg-Wilmersdorf),info@villagrips.de,www.villagrips.de,Mo 08:00-17:00,Di 08:00-17:00,Mi 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,,,Ansatz von Emmi Pikler,Ansatz von Emmi Pikler,,,"Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,35,5,12,23,14050,Berlin,Charlottenburg-Wilmersdorf,52.5913194,13.3946744,"14, Akazienallee, Niederschönhausen, Pankow, Berlin, 13158, Deutschland"
1266,Kita Villa Musica,Kindertagesstätte,EJF gemeinnützige AG,(Sonstiger freier Träger),Kaulbachstr. 50 ,12247 Berlin (Steglitz-Zehlendorf),kita-villamusica@ejf.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-16:00,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Religionspädagogik",,Nein, ,58,12,20,38,12247,Berlin,Steglitz-Zehlendorf,52.4389958,13.3392786,"Villa Musica, 50, Kaulbachstraße, Lankwitz, Steglitz-Zehlendorf, Berlin, 12247, Deutschland"
597,Kita Villa Schabernack,Kindertagesstätte,Bürgerhaus e.V.,(Sonstiger freier Träger),Stavangerstr. 6 ,10439 Berlin (Pankow),schabernack@buergerhaus-ev.de,www.buergerhaus-ev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,"Ansatz von Emmi Pikler, Situationsansatz","Ansatz von Emmi Pikler, Situationsansatz",,,"Integration von Kindern mit Behinderung, Körper und Bewegung",,Nein, ,200,2,90,110,10439,Berlin,Pankow,52.5548854,13.4091265,"6, Stavanger Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
2541,KITA Villa Sternenschiff,Kindertagesstätte,SEHstern e.V.,(Sonstiger freier Träger),Benjamin-Vogelsdorff-Str. 3 ,13187 Berlin (Pankow),sternenschiff@sehstern-ev.de,www.sehstern-ev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Integration von Kindern mit Behinderung",,Nein, ,45,12,11,34,13187,Berlin,Pankow,52.5676443,13.4058905784,"Kinderpension Kleine Vagabunten, 3, Benjamin-Vogelsdorff-Straße, Pankow, Berlin, 13187, Deutschland"
273129,Kita Villa Wackelzahn,Kindertagesstätte,VILLA WACKELZAHN e.V.,(EKT),Friedrich-Wilhelm-Str. 21 ,12103 Berlin (Tempelhof-Schöneberg),villawackelzahn1@aol.com,,Mo 07:30-16:00,Di 07:30-16:00,Mi 07:30-16:00,Do 07:30-16:00,Fr 07:30-16:00,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,"deutsch - arabisch, deutsch - polnisch","Ästhetische Bildung (Musik und Kunst), Interkulturelle Pädagogik, Körper und Bewegung",,Nein, ,20,12,0,20,12103,Berlin,Tempelhof-Schöneberg,52.4585292,13.3819861,"21, Friedrich-Wilhelm-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12103, Deutschland"
566229,Kita Vitale Großstadtmäuse II,Kindertagesstätte,"IBP Privatinstitut für 
Bewusstseins-Pädagogik
gUG (haftungsbeschränkt)",(Sonstiger freier Träger),Friedenstr. 14 ,12489 Berlin (Treptow-Köpenick),,,,,,,,,,Montessori-Pädagogik,Montessori-Pädagogik,,,Gesundheit,,Nein, ,20,0, , ,12489,Berlin,Treptow-Köpenick,52.5254253,13.4293306,"14, Friedenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland"
1881,Kita Vorbergstraße,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Vorbergstr. 15 ,10823 Berlin (Tempelhof-Schöneberg),kita-vorberg@nbhs.de,www.kita-vorberg.nbhs.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,,,Situationsansatz,Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,153,7,48,105,10823,Berlin,Tempelhof-Schöneberg,52.4886595,13.3570077,"Städt. Kita Vorbergstraße 15, 15, Vorbergstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
1475,Kita Waldshuter Zeile,Kindertagesstätte,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,(Sonstiger freier Träger),Waldshuter Zeile 8 ,13469 Berlin (Reinickendorf),kita-waldshuter@outlaw-jugendhilfe.de,www.outlaw-jugendhilfe.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Nein, ,140,2,41,99,13469,Berlin,Reinickendorf,52.6100073,13.3368932,"8, Waldshuter Zeile, Waidmannslust, Reinickendorf, Berlin, 13469, Deutschland"
161279,Kita Waschbär,Kindertagesstätte,Sozialdiakonische Arbeit Lichtenberg-Oberspree GmbH,(Sonstiger freier Träger),Georg-Löwenstein-Str. 22 ,10317 Berlin (Lichtenberg),waschbaer@sozdia.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,75,10,30,45,10317,Berlin,Lichtenberg,52.4946213,13.4863333,"22, Georg-Löwenstein-Straße, BerlinCampus, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland"
169,Kita Weidenkätzchen,Kindertagesstätte,Arbeiterwohlfahrt Berlin Spree-Wuhle e.V.,(Arbeiterwohlfahrt),Weidenweg 68 ,10247 Berlin (Friedrichshain-Kreuzberg),weidenkaetzchen@awo-spree-wuhle.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - spanisch,"Interkulturelle Pädagogik, Natur- und Umweltpädagogik",,Nein, ,87,0,35,52,10247,Berlin,Friedrichshain-Kreuzberg,52.5191539,13.4564435,"68, Weidenweg, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland"
2987,Kita Weiße Wolke,Eltern-Initiativ-Kindertagesstätte,Kita Weiße Wolke e.V.,(EKT),Groninger Str. 32 ,13347 Berlin (Mitte),kitawolke@yahoo.com,,Mo 08:00-16:00,Di 08:00-16:00,Mi 08:00-16:00,Do 08:00-16:00,Fr 08:00-16:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung",,Nein, ,20,36,0,20,13347,Berlin,Mitte,52.5536442,13.3618935,"32, Groninger Straße, Leopoldkiez, Wedding, Mitte, Berlin, 13347, Deutschland"
32,Kita Weydemeyerstr. 20/21,Kindertagesstätte,Kindergärten City,(Eigenbetrieb),Weydemeyerstr. 20 /21,10178 Berlin (Mitte),Kita.Weydemeyerstr20@ba-fk.berlin.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,,,Situationsansatz,Situationsansatz,,,Gesundheit,,Nein, ,132,2,40,92,10178,Berlin,Mitte,52.5215516,13.428658,"Weydemeyerstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland"
170,Kita Wichtelbühne,Kindertagesstätte,Arbeiterwohlfahrt Berlin Spree-Wuhle e.V.,(Arbeiterwohlfahrt),Weidenweg 78 ,10247 Berlin (Friedrichshain-Kreuzberg),wichtelbuehne@awo-spree-wuhle.de,,Mo 06:30-17:30,Di 06:30-17:30,Mi 06:30-17:30,Do 06:30-17:30,Fr 06:30-17:30,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Theaterpädagogik",,Nein, ,165,2,77,88,10247,Berlin,Friedrichshain-Kreuzberg,52.519193,13.4573923,"78, Weidenweg, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland"
2591,Kita Wielandstraße,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Wielandstr. 23 ,12159 Berlin (Tempelhof-Schöneberg),kita-wieland@nbhs.de,www.kita-wieland.nbhs.de,Mo 07:30-16:30,Di 07:30-16:30,Mi 07:30-16:30,Do 07:30-16:30,Fr 07:30-16:30,,,"Situationsansatz, Sonstiges",Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,28,12,9,19,12159,Berlin,Tempelhof-Schöneberg,52.5003987,13.3148009,"23, Wielandstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10707, Deutschland"
603,Kita Wiesenweg 20/Kitas Nordwest,Kindertagesstätte,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,(Eigenbetrieb),Wiesenweg 20 ,13591 Berlin (Spandau),wiesenweg@kita-nordwest.de,,Mo 06:00-17:30,Di 06:00-17:30,Mi 06:00-17:30,Do 06:00-17:30,Fr 06:00-17:30,,,Situationsansatz,Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,100,2,25,75,13591,Berlin,Spandau,52.5278665,13.1400103,"20, Wiesenweg, Staaken, Spandau, Berlin, 13591, Deutschland"
1236,Kita Wiesenwichtel,Kindertagesstätte,Bürgerhaus e.V.,(Sonstiger freier Träger),Wiesenwinkel 17 ,13158 Berlin (Pankow),wiesenwichtel@buergerhaus-ev.de,www.buergerhaus-ev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,"Ansatz von Emmi Pikler, Situationsansatz","Ansatz von Emmi Pikler, Situationsansatz",,,Integration von Kindern mit Behinderung,,Nein, ,110,2,45,65,13158,Berlin,Pankow,52.5927325,13.3796618068,"Kita Wiesenwichtel, 17, Wiesenwinkel, Rosenthal, Pankow, Berlin, 13158, Deutschland"
1774,Kita Wilhelmsaue 122/123/Kitas Nordwest,Kindertagesstätte,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,(Eigenbetrieb),Wilhelmsaue 122 123,10715 Berlin (Charlottenburg-Wilmersdorf),wilhelmsaue@kita-nordwest.de,,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-16:45,,,Situationsansatz,Situationsansatz,,,"Integration von Kindern mit Behinderung, Körper und Bewegung",,Nein, ,99,2,42,57,10715,Berlin,Charlottenburg-Wilmersdorf,52.4847738,13.3256321,"Städt. Kita Wilhelmsaue, 122/123, Wilhelmsaue, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10715, Deutschland"
934,Kita Wilhelmstr. 14a/Kigä City,Kindertagesstätte,Kindergärten City,(Eigenbetrieb),Wilhelmstr. 14A ,10963 Berlin (Friedrichshain-Kreuzberg),Kita.Wilhelmstr14@ba-fk.berlin.de,,Mo 06:00-17:00,Di 06:00-17:00,Mi 06:00-17:00,Do 06:00-17:00,Fr 06:00-17:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Nein, ,133,24,31,102,10963,Berlin,Friedrichshain-Kreuzberg,52.5023284,13.3896496,"14A, Wilhelmstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland"
2754,Kita Wirbelwind,Kindertagesstätte,Bürgerhaus e.V.,(Sonstiger freier Träger),Mandelstr. 15 ,10409 Berlin (Pankow),wirbelwind@buergerhaus-ev.de,www.buergerhaus-ev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,"Ansatz von Emmi Pikler, Situationsansatz","Ansatz von Emmi Pikler, Situationsansatz",,,"Gesundheit, Integration von Kindern mit Behinderung",,Nein, ,60,2,30,30,10409,Berlin,Pankow,52.5478677,13.4421242,"15, Mandelstraße, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland"
271129,Kita Wolkenschaf,Kindertagesstätte,Filigran gGmbH,(Sonstiger freier Träger),Sewanstr. 43 ,10319 Berlin (Lichtenberg),kita.wolkenschaf@gmx.de,www.kita-wolkenschaf.de,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,Montessori-Pädagogik,Montessori-Pädagogik,,,Körper und Bewegung,,Nein, ,70,11,30,40,10319,Berlin,Lichtenberg,52.4986659,13.5026392,"Zimmertheater Kultschule, 43, Sewanstraße, Sewan-Viertel, Friedrichsfelde, Lichtenberg, Berlin, 10319, Deutschland"
504229,Kita Wunderland,Kindertagesstätte,MiNoMi gGmbH,(Sonstiger freier Träger),Gerichtstr. 40 ,13347 Berlin (Mitte),kitawunderland@minomi.info,www.kita-mitte.berlin,Mo 08:00-17:00,Di 08:00-17:00,Mi 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - russisch,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung",,Nein, ,30,10,14,16,13347,Berlin,Mitte,52.5450366,13.363667,"40, Gerichtstraße, Leopoldkiez, Wedding, Mitte, Berlin, 13347, Deutschland"
364129,Kita Wundtstraße,Kindertagesstätte,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,(Sonstiger freier Träger),Wundtstr. 40 -044,14057 Berlin (Charlottenburg-Wilmersdorf),kita-wundtstr@outlaw-jugendhilfe.de,www.outlaw-jugendhilfe.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,,,Situationsansatz,Situationsansatz,,,Theaterpädagogik,,Nein, ,80,2,35,45,14057,Berlin,Charlottenburg-Wilmersdorf,52.5067505,13.2839563,"Wundtstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 14057, Deutschland"
328179,Kita Zauberblümchen,Kindertagesstätte,"Gemeinnützige Interkultureller Start UG
(haftungsbeschränkt)",(Sonstiger freier Träger),Landjägerstr. 11 ,12555 Berlin (Treptow-Köpenick),zauberbluemchen@interkulturellerstart.com,www.kita-zauberbluemchen.de,Mo 07:00-17:30,Di 07:00-17:30,Mi 07:00-17:30,Do 07:00-17:30,Fr 07:00-17:30,,,"Ansatz von Emmi Pikler, Montessori-Pädagogik, Sonstiges","Ansatz von Emmi Pikler, Montessori-Pädagogik",Mehrsprachigkeit,deutsch - russisch,"Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung",,Nein, ,70,12,30,40,12555,Berlin,Treptow-Köpenick,52.444295,13.5805541,"11, Landjägerstraße, Köpenick, Treptow-Köpenick, Berlin, 12555, Deutschland"
544329,Kita Zauberschlüssel,Kindertagesstätte,Rednik gGmbH,(Sonstiger freier Träger),Bizetstr. 51 - 55,13088 Berlin (Pankow),info@kita-zauberschluessel.de,www.kita-zauberschluessel.de,,,,,,,,Situationsansatz,Situationsansatz,,,Gesundheit,,Nein, ,30,12,10,20,13088,Berlin,Pankow,52.5472225,13.4511969,"Bizetstraße, Komponistenviertel, Weißensee, Pankow, Berlin, 13088, Deutschland"
2086,Kita Zipfelmütze,Kindertagesstätte,GFAJ e.V.,(Sonstiger freier Träger),Görschstr. 15 ,13187 Berlin (Pankow),zipfelmuetze@gfajev.de,www.gfajev.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Nein, ,110,0,45,65,13187,Berlin,Pankow,52.5642345,13.4004982,"15, Görschstraße, Pankow, Berlin, 13187, Deutschland"
2741,Kita Zwergenbaude,Kindertagesstätte,Zwergenbaude e.V.,(Sonstiger freier Träger),Chodowieckistr. 35 ,10405 Berlin (Pankow),zwergenbaude@hotmail.de,www.kita-zwergenbaude.de,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung",,Ja, ,18,12,9,9,10405,Berlin,Pankow,52.5364851,13.4291948,"35, Chodowieckistraße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland"
102129,Kita Zwergenbaude II,Kindertagesstätte,Zwergenbaude e.V.,(Sonstiger freier Träger),Chodowieckistr. 35 EG links,10405 Berlin (Pankow),zwergenbaude@hotmail.de,www.kita-zwergenbaude.de,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Ja, ,18,12,9,9,10405,Berlin,Pankow,check,check,check
982,Kita/WeG gGmbH,Kindertagesstätte,WeG gGmbH,(Sonstiger freier Träger),Weserstr. 155 ,12045 Berlin (Neukölln),info@wegggmbh.de,www.weserwiesencids.de,Mo 08:00-17:00,Di 08:00-16:00,Mi 08:00-17:00,Do 08:00-17:00,Fr 08:00-17:00,,,"Fröbel-Pädagogik, Reggio-Pädagogik, Situationsansatz, Sonstiges","Fröbel-Pädagogik, Reggio-Pädagogik, Situationsansatz",Mehrsprachigkeit,"deutsch - englisch, deutsch - italienisch","Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,22,12,11,11,12045,Berlin,Neukölln,52.4820481,13.4437933,"155, Weserstraße, Donaukiez, Neukölln, Berlin, 12045, Deutschland"
366179,Kleine RokoKids Kita,Kindertagesstätte,Ki.E.Ka. e.V.,(Sonstiger freier Träger),Ofener Str. 3A ,13349 Berlin (Mitte),kontakt@rokokids-kita.de,www.rokokids-kita.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung",,Nein, ,20,2,18,2,13349,Berlin,Mitte,52.5558651,13.3450367,"3A, Ofener Straße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13349, Deutschland"
473129,Kleiner Fratz,Kindertagesstätte,Kleiner Fratz GmbH,(Sonstiger freier Träger),Flankenschanze 48 ,13585 Berlin (Spandau),kita.spandau@kleiner-fratz-berlin.de,,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,Interkulturelle Pädagogik,,Nein, ,100,2,35,65,13585,Berlin,Spandau,52.5404125,13.1974438,"48, Flankenschanze, Spandau, Berlin, 13585, Deutschland"
100034,Kookaburra Kinderbetreuung,Kindertagesstätte,kids in berlin kib gUG (haftungsbeschränkt),(Sonstiger freier Träger),Westfälische Str. 57 ,10711 Berlin (Charlottenburg-Wilmersdorf),kookaburrainfo@aol.com,www.kookaburra-kids.de,Mo 07:45-17:00,Di 07:45-17:00,Mi 07:45-17:00,Do 07:45-17:00,Fr 07:45-17:00,,,Situationsansatz,Situationsansatz,,,Körper und Bewegung,,Nein, ,10,8,10,0,10711,Berlin,Charlottenburg-Wilmersdorf,52.496011,13.2946486,"Hairdreams, 57, Westfälische Straße, Halensee, Charlottenburg-Wilmersdorf, Berlin, 10711, Deutschland"
349179,Krippe Holsteinische Straße,Kindertagesstätte,Nachbarschaftsheim Schöneberg e.V.,(Sonstiger freier Träger),Holsteinische Str. 30 ,12161 Berlin (Tempelhof-Schöneberg),kita-holsteinische@nbhs.de,www.kita-frege.nbhs.de,Mo 07:30-17:00,Di 07:30-17:00,Mi 07:30-17:00,Do 07:30-17:00,Fr 07:30-17:00,,,"Situationsansatz, Sonstiges",Situationsansatz,,,Integration von Kindern mit Behinderung,,Nein, ,28,10,22,6,12161,Berlin,Tempelhof-Schöneberg,52.4935165,13.3248675,"30, Holsteinische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10717, Deutschland"
143129,Krippe Sterntaler,Kindertagesstätte,"DAS HAUS - Begegnungsstätte
für Kindheit e. V.",(Sonstiger freier Träger),Gubener Str. 1a ,10243 Berlin (Friedrichshain-Kreuzberg),das.haus@gmx.de,,Mo 07:00-17:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,23,12,23,0,10243,Berlin,Friedrichshain-Kreuzberg,52.5155623,13.4448074,"1a, Gubener Straße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland"
949,Lebenshilfe iKita,Kindertagesstätte,Lebenshilfe iKita gGmbH,(Sonstiger freier Träger),Straße 614 24 ,12347 Berlin (Neukölln),integrationskita@lebenshilfe-berlin.de,,Mo 07:00-16:00,Di 07:00-17:00,Mi 07:00-17:00,Do 07:00-17:00,Fr 07:00-17:00,,,Situationsansatz,Situationsansatz,,,Interkulturelle Pädagogik,,Nein, ,170,9,25,145,12347,Berlin,Neukölln,52.4696908,13.4390999,"Straße, Rollbergsiedlung, Neukölln, Berlin, 12051, Deutschland"
140129,Lori Kids - Internationaler Musikbetonter Kindergarten,Kindertagesstätte,kids in berlin kib gUG (haftungsbeschränkt),(Sonstiger freier Träger),Stierstr. 7 ,12159 Berlin (Tempelhof-Schöneberg),lorikids_info@yahoo.de,www.lori-kids.de,Mo 07:30-17:30,Di 07:30-17:30,Mi 07:30-17:30,Do 07:30-17:30,Fr 07:30-17:30,,,Situationsansatz,Situationsansatz,Mehrsprachigkeit,deutsch - englisch,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,25,12,10,15,12159,Berlin,Tempelhof-Schöneberg,52.4758646,13.3377157,"7, Stierstraße, Friedenau, Tempelhof-Schöneberg, Berlin, 12159, Deutschland"
361179,Lustige Spatzen,Kindertagesstätte,Familienzentrum Sonnenlicht gGmbH,(Sonstiger freier Träger),Auguste-Viktoria-Allee 14 ,13403 Berlin (Reinickendorf),info@fzsonnenlicht.de,www.fzsonnenlicht.de,Mo 07:00-18:00,Di 07:00-18:00,Mi 07:00-18:00,Do 07:00-18:00,Fr 07:00-18:00,,,Situationsansatz,Situationsansatz,,,"Ästhetische Bildung (Musik und Kunst), Gesundheit, Körper und Bewegung, Theaterpädagogik",,Nein, ,140,2,0,140,13403,Berlin,Reinickendorf,52.5698602,13.326202,"14, Auguste-Viktoria-Allee, Reinickendorf, Berlin, 13403, Deutschland"
258129,Mini Knirpse,Kindertagesstätte,"urban-consult gemeinnützige Gesellschaft 
für kommunale Beratung mbH",(Sonstiger freier Träger),Raoul-Wallenberg-Str. 52 ,12679 Berlin (Marzahn-Hellersdorf),kita-knirpsenhaus@urban-consult.de,www.kita-knirpsenhaus.de,Mo 06:00-18:00,Di 06:00-18:00,Mi 06:00-18:00,Do 06:00-18:00,Fr 06:00-18:00,,,Situationsansatz,Situationsansatz,,,"Gesundheit, Körper und Bewegung",,Nein, ,24,8,24,0,12679,Berlin,Marzahn-Hellersdorf,52.5467126,13.560969,"52, Raoul-Wallenberg-Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12679, Deutschland"
2386,Pädag.Initiative EKT am Schillerpark,Eltern-Initiativ-Kindertagesstätte,Pädagogische Initiative EKT am Schillerpark e.V.,(EKT),Türkenstr. 15 ,13349 Berlin (Mitte),info@ekt-am-schillerpark.de,,Mo 07:15-16:15,Di 07:15-16:15,Mi 07:15-16:15,Do 07:15-16:15,Fr 07:15-16:15,,,Situationsansatz,Situationsansatz,,,"Körper und Bewegung, Natur- und Umweltpädagogik",,Nein, ,19,23,1,18,13349,Berlin,Mitte,52.5548882,13.3494092,"15, Türkenstraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13349, Deutschland"
